     0          0.00000315
     1          0.00002335
     2          0.00027815
     3          0.00338947
     4          0.02990976
     5          0.13686032
     6          0.28329033
     7          0.28146564
     8          0.16270933
     9          0.06815017
    10          0.02384292
    11          0.00735102
    12          0.00200419
    13          0.00053438
    14          0.00014096
    15          0.00003657
    16          0.00000836
    17          0.00000166
    18          0.00000025
    19          0.00000002
