 2 1
3 1
4 5
5 9
6 20
7 39
8 59
9 81
10 102
11 247
12 641
13 1424
14 3572
15 9316
16 20728
17 39023
18 64149
19 90411
20 115429
21 138719
22 159956
23 178045
24 193626
25 206891
26 218295
27 228232
28 236618
29 243988
30 250056
31 255961
32 260734
33 264816
34 268300
35 271146
36 273745
37 276177
38 278129
39 279891
40 281673
41 282950
42 284466
43 285307
44 286484
45 287039
46 287896
47 288731
48 288926
49 289890
50 290345
51 290859
52 291252
53 291469
54 291953
55 292350
56 292553
57 292583
58 293001
59 292911
60 293368
61 293448
62 293593
63 293466
64 293671
65 293712
66 293569
67 293491
68 293950
69 293954
70 294099
71 293837
72 293976
73 294349
74 293960
75 294166
76 293927
77 294247
78 294384
79 294356
80 294178
81 294459
82 294522
83 294230
84 294253
85 294362
86 294421
87 294080
88 294265
89 294361
90 294246
91 294499

