0   1 
1   1 
2   2 
3   2 
4   4 
5   6 
6   8 
7   9 
8   11 
9   12 
10   15 
11   18 
12   24 
13   27 
14   35 
15   38 
16   52 
17   64 
18   72 
19   74 
20   89 
21   116 
22   149 
23   185 
24   222 
25   291 
26   372 
27   458 
28   582 
29   710 
30   877 
31   1096 
32   1414 
33   1775 
34   2237 
35   2845 
36   3590 
37   4470 
38   5605 
39   6953 
40   8586 
41   10439 
42   12720 
43   15349 
44   18332 
45   21669 
46   25447 
47   29504 
48   33806 
49   38347 
50   43083 
51   47923 
52   52463 
53   56965 
54   61026 
55   65150 
56   69034 
57   72556 
58   75578 
59   78508 
60   81078 
61   83459 
62   85880 
63   87663 
64   89204 
65   90749 
66   92149 
67   93233 
68   94562 
69   95517 
70   96449 
71   97249 
72   97780 
73   98382 
74   99016 
75   99515 
76   100069 
77   100362 
78   100778 
79   101084 
80   101260 
81   101439 
82   101686 
83   101758 
84   101951 
85   102276 
86   102365 
87   102197 
88   102192 
89   102364 
