0   0 
1   4 
2   3 
3   3 
4   4 
5   4 
6   3 
7   2 
8   4 
9   3 
10   4 
11   3 
12   4 
13   4 
14   3 
15   3 
16   3 
17   3 
18   3 
19   3 
20   4 
21   4 
22   3 
23   3 
24   3 
25   4 
26   4 
27   4 
28   3 
29   4 
30   4 
31   4 
32   4 
33   4 
34   4 
35   4 
36   4 
37   4 
38   4 
39   4 
40   4 
41   4 
42   4 
43   4 
44   4 
45   4 
46   4 
47   4 
48   4 
49   4 
50   4 
51   4 
52   4 
53   4 
54   4 
55   3 
56   4 
57   4 
58   4 
59   4 
60   4 
61   4 
62   4 
63   3 
64   4 
65   4 
66   4 
67   4 
68   4 
69   3 
70   4 
71   4 
72   2 
73   4 
74   4 
75   3 
76   4 
77   4 
78   3 
79   4 
80   4 
81   4 
82   4 
83   3 
84   4 
85   4 
86   3 
87   3 
88   4 
89   4 
